dist,population,eucl_dist_median,transit_dist_median,transit_dura_median,driving_dist_median,driving_dura_median,eucl_dist_mean,transit_dist_mean,transit_dura_mean,driving_dist_mean,driving_dura_mean,eucl_dist_ci,transit_dist_ci,transit_dura_ci,driving_dist_ci,driving_dura_ci
0.5,7730,3574.0,5491.0,2308.0,5577.0,1081.3333333333333,4748.589521345408,7202.307172238798,2380.5481683206735,7040.617396497265,1252.1591975510091,95.74643079655185,128.76460994041872,19.74675312500539,124.83629987784933,13.911028403912974
1.5,19351,3408.125,5452.0,2272.6666666666665,5247.0,1056.0,4592.999173169345,7124.3418693781705,2368.8598764126523,6952.331511491385,1216.5382524968857,61.151605877062046,83.77193578657973,12.916998803436238,80.71010890002434,8.654648203687497
2.5,33751,3506.5,5597.666666666667,2458.0,5535.0,1145.3333333333333,4712.013688483305,7457.723272298867,2529.346650182462,7277.670325645568,1273.881233656682,46.541498719636316,63.85056448038737,9.589896005216358,60.83739853601158,6.756457245940222
3.5,36094,3664.3076923076924,6020.0,2507.3333333333335,5875.0,1162.8333333333335,4775.098492824292,7726.178365068615,2644.1905247294962,7547.167434617612,1289.9327852200756,43.44081521494752,59.976597315688,9.34301421439699,57.63882005550991,6.4067207137151465
4.5,51226,3911.2,6462.666666666667,2512.510122463653,6737.0,1296.418212352291,5068.668957170186,8162.921101318912,2670.717586416964,8237.879065376736,1393.1146300316439,38.55422025540195,52.67163039559143,7.892465240979867,51.33859882638061,5.67920628739952
5.5,44904,4109.75,6761.0,2530.6666666666665,6561.0,1239.0,5156.747305362551,8278.697226101458,2774.885012633551,7961.248424469662,1345.1433434296143,42.34315732110516,57.468883079487725,8.738787926714478,54.89532409112819,6.219694078244837
6.5,49105,4792.75,7537.2174191674785,2531.497987649674,7421.666666666667,1389.0,5585.71992668771,8804.054579939862,2746.8362675322555,8572.073547905775,1484.5955559842685,39.688787225798585,55.555669285719134,8.203606907947712,52.95032557305366,6.613927906907109
7.5,48655,4525.0,6999.0,2542.12999508757,7000.0,1304.3333333333333,5359.797348679478,8440.300241177833,2789.771894515118,8306.192666867135,1422.2109226144814,38.98157828281985,54.5013008212098,8.339887006195994,51.52299889946382,6.277614417142492
8.5,40398,4715.521739130435,7249.0,2680.0,7252.0,1339.0,5567.741200059409,8834.26736646318,2905.6783199092442,8621.402456990212,1429.9620210189803,42.88339894169133,60.528153340263785,9.288598713841443,57.84798531177141,6.748095432901986
9.5,39395,4792.428571428572,7697.0,2627.0,7809.0,1426.6666666666667,5751.199010026652,9186.43057261135,2863.3701188688638,9070.762602077402,1515.9678382635047,43.96246322164104,62.07928091232347,9.527411625895578,60.20390462756405,7.644693391213172
10.5,47498,4927.166666666666,7641.0,2685.0,7785.0,1477.3784930262075,5900.833845635606,9194.707465955678,2861.2516422018066,9045.884353256468,1572.132321534641,41.12656907287559,57.11326120517324,8.510183188461893,55.745061371401135,6.954281120947185
11.5,32939,5206.2307692307695,8592.0,2928.6666666666665,8411.666666666666,1499.6666666666667,6174.070676098242,9761.41585582873,3033.848320702462,9755.603816752606,1592.8249932687543,50.24987416615263,68.07760684046652,10.402552065099997,69.3446632894032,8.61251657284549
12.5,54633,5834.222222222223,8821.666666666666,2932.3333333333335,9024.0,1611.3333333333333,6640.565702048212,10061.023698040028,3038.9464421083144,10053.179279718028,1625.2447362602768,39.796304986413205,54.55780586043708,8.10361517442865,53.0402567877852,6.563361389650124
