dist,population,eucl_dist_median,transit_dist_median,transit_dura_median,driving_dist_median,driving_dura_median,eucl_dist_mean,transit_dist_mean,transit_dura_mean,driving_dist_mean,driving_dura_mean,eucl_dist_ci,transit_dist_ci,transit_dura_ci,driving_dist_ci,driving_dura_ci
0.5,1959,2431.8333333333335,3856.0,2273.0,3510.0,712.3333333333334,3293.197549770291,5394.991004851282,2241.7520874035417,4921.925406072015,921.3264538306888,129.37874511572466,176.7182283607462,33.73017899773267,172.72389489867584,22.637861960538793
1.5,11002,2343.6846846846847,3872.0,2089.0,3586.0,789.6666666666666,3456.020450827122,5552.8649481897955,2199.0778794951134,5149.785876143477,979.8284196487768,63.72781711928645,86.55196666159702,15.41451689648629,85.09394872553183,10.973115591949448
2.5,18003,2693.6923076923076,4464.0,2234.0,4081.0,928.3333333333334,3915.393545520191,6240.736240371917,2327.0923042189606,5783.505274441877,1107.1640575363404,54.9956514671316,75.81386537001985,12.892054131492813,73.224339458065,9.662243383939307
3.5,27504,3133.3333333333335,4952.0,2340.6666666666665,4613.0,1058.8333333333335,4230.297556719023,6658.547811830575,2401.7238278214454,6151.323771852542,1209.2025084552931,45.366745522333716,62.81500423481213,10.323410706130671,60.60489980297904,8.099808399354501
4.5,38582,3645.0,5693.0,2447.5565949708343,5414.666666666667,1232.669643874245,4688.525244932871,7315.927967535557,2516.80666187428,6887.268365046934,1348.8726573406589,40.357313096326955,55.89368443952682,9.017882159029186,53.67462249361987,7.219982300772503
5.5,42593,4141.0,6448.666666666667,2467.2178264620434,5967.0,1378.6666666666667,5114.355457469536,7910.252281745695,2636.8738919345574,7410.206119258604,1468.120314530346,39.72389955541672,55.31097208368168,8.98547096557811,53.05865042332576,7.1892732288519525
6.5,47384,4450.8,6912.826444908671,2484.996773139842,6403.0,1467.0,5449.35777899713,8358.593707274194,2692.0182523454696,7856.532837782793,1543.6554002389362,39.06238776749262,54.13930112224005,8.588689077090645,52.41000125530556,7.235365139539112
7.5,44445,4610.642857142857,7185.0,2626.0,6470.666666666667,1506.0,5589.131690853865,8577.922053658875,2814.2983910098,8029.594496347553,1606.9500800652597,41.29930500781149,57.155252724700894,9.002042314974593,55.36576875642199,7.920658313284219
8.5,50324,4685.666666666667,7340.0,2767.6666666666665,6681.0,1525.6666666666667,5731.393589539783,8810.593579407083,2918.3531317933134,8241.963004852347,1638.5536125102255,39.423260651701554,54.68862326897919,8.442240397284351,52.8590015599551,7.7888707883496755
9.5,57934,5209.125,7986.0,2972.0,7480.0,1647.591091407353,6175.585148617392,9431.88200278218,3078.176205717626,8976.949430501236,1773.9789067877034,37.78709510479818,52.23013339502773,8.164430289161457,51.46575106940686,7.929430460414573
10.5,50573,5382.436363636363,8312.0,3025.6666666666665,7489.0,1627.6666666666667,6417.026081110474,9757.952592167267,3128.1466093215568,9006.30053764227,1776.6889694939277,41.96192898533571,57.7075934188727,8.796808619120899,55.639213398913036,8.706558692313674
11.5,50071,5739.0,8851.0,3113.6666666666665,7982.0,1699.3333333333333,6780.35104152104,10292.03361213098,3207.5710199907458,9490.48422819792,1821.3598235529566,44.30352398389974,60.73225474350516,9.202844840845456,58.31145436849048,8.94108111882755
12.5,42538,5479.6,8548.0,3121.3333333333335,8089.0,1575.0044486380634,6746.95573369693,10139.780483230483,3237.3321352327184,9652.29395723074,1761.92040109505,49.6123772517626,66.96683450291421,10.040759130099477,65.48823490607474,9.79851591804811
13.5,35131,5109.0,7937.614953518378,3103.0,7354.0,1480.0,6437.2081921949275,9754.881080379148,3212.7122191676076,9278.961664658089,1717.9924582610895,54.320603684126354,73.34471756661146,11.120732969739406,72.09932620385807,11.193456897066039
14.5,34539,4436.214285714285,7266.0,3028.399676222582,6370.0,1290.0,6178.486232954052,9391.967717335187,3190.5107472369023,8792.069494258358,1589.5542293577719,54.46485695795186,73.15308538747487,11.485889745184402,71.91711348012093,10.850026156422238
15.5,48222,4121.0,6871.5940913090335,3025.3333333333335,6079.0,1227.6666666666667,6205.927895981087,9486.576188671901,3216.8955259159784,8855.195235420377,1557.733666276149,49.14960650536182,66.02497315980229,9.827724563142581,64.66615317076227,9.453723633894365
16.5,33874,4391.5,7329.652028051845,3124.3333333333335,6605.496096239037,1259.0,6616.283609848261,10083.673179704032,3292.3684790464936,9421.878369581189,1619.8038868429605,62.040204141179046,83.1405328935755,12.023833778097632,81.04752266699894,11.88298337622566
17.5,34493,4299.5,7424.0,3136.0,6575.0,1261.0,6666.0906560751455,10267.515709573945,3316.148983950093,9679.586012027305,1663.4601010780684,62.603763354214706,82.88483418654532,11.616438050781305,82.47786849475634,12.07830282714031
18.5,32874,4006.0,6817.5,3079.3333333333335,6308.0,1146.0,6478.918050739186,9993.343144562505,3322.857433460632,9306.291961084997,1608.7805423987872,64.789142799553,86.73075612815167,12.783162637371554,84.25563899146873,12.74163259970292
19.5,25723,3458.2,5942.3005653478895,2847.856919353578,5313.0,984.0,5759.209151343156,9047.534383130003,3142.488255216984,8269.850104604438,1371.118757642139,70.78767564317478,96.20242421304376,14.536213470389027,92.92766290001153,12.99837780323188
20.5,26020,3552.1428571428573,6160.0,2902.844428564765,5323.980728166479,981.3333333333334,6096.267832436586,9366.264118975714,3194.297942200751,8638.475545538926,1423.4519936685288,74.95748878723235,100.5681036863183,14.60329213152214,97.89261388436196,13.573218208961148
