"ID","location_mean","comm_mean","subway","radius_mean","Popu2010","SUM_bup10"
"320600",6.22516773218548,8532.09069486047,NA,10473.3130812124,227.4113,185.57
"320700",6.23903878813578,9256.19813703229,NA,10627.4397840203,105.0523,180.13
"320800",6.30880804255399,7369.37416216443,NA,8646.23337232326,263.5406,326.88
"320900",6.3630136674474,8227.33939992804,NA,10635.4205357032,161.5836,73.56
"321000",6.20992236002442,6788.8156035093,NA,7683.08798453808,139.2563,139.75
"321100",5.93745427112233,6444.19253684541,NA,6737.8139386441,120.076,152.81
"321200",6.32015063539589,7000.30713791106,NA,7822.65943702626,87.8463,97.32
"321300",6.58940661416738,8119.00881620418,NA,9416.35415756471,143.7685,79.62
"330100",6.60356805555297,7155.03438324799,1,8552.42398358963,624.1971,969.38
"330200",6.15895055445908,6440.48447708364,1,8101.81753411327,349.1597,629.81
"330300",5.46442888325096,6801.74204451534,NA,7857.95700604985,303.9439,239.07
"330400",5.92972871649495,5683.06065878996,NA,6113.54966646824,120.1882,118.57
"330500",6.4766382337239,6976.10087276874,NA,7348.66977764036,129.3219,135.44
"330600",6.07604288009294,6592.56440430886,NA,7316.21211171457,88.3836,104.19
"330700",6.41848546813708,7462.80990919782,NA,8726.46175837477,107.7245,170.32
"330800",6.74014577821343,8459.29467581953,NA,9324.71976361503,80.5963,105
"331000",5.90846936541529,7062.1265463433,NA,8058.415482134,190.251,223.94
"331100",6.24762904422436,7886.99052211815,NA,10155.2219422662,45.1418,45.88
"340100",6.39554526624702,7419.02250414382,NA,8959.44527865759,331.0268,217.75
"340200",6.11453051302786,7348.74250291747,NA,7934.3844132772,130.7042,102.19
"340300",6.32238172698366,7426.60512726174,NA,8080.04296056626,97.2784,85.63
"340400",6.19344482791722,9328.25445281476,NA,9285.67951867972,166.6826,164
"340500",6.08099696724892,6097.96074263039,NA,6286.40552254508,74.1531,89.44
"340600",6.16382772238301,9376.40631624829,NA,10061.2787736913,111.3321,61.25
"340800",6.27357822374011,7667.95261360877,NA,9173.05363033368,78.0514,49.06
"341100",6.30139158672258,7272.99506229624,NA,8766.58255391614,56.2321,43.87
"341200",6.76922975345633,7963.29049443265,NA,9534.65575770979,176.8947,66.88
"341300",6.92397525965856,7683.45126560531,NA,9237.05869020335,164.7242,193.88
"341500",6.70651742142702,8542.40646198607,NA,10414.3095521467,164.4344,80.82
"341600",7.10252226623176,7245.62026855709,NA,8068.72787193944,140.9436,221.31
"341800",6.5032944573169,7722.88203256383,NA,8699.16544668545,77.249,31.44
"350100",6.02365317697391,7959.5928739668,NA,10118.9721289969,292.1762,232.32
"350200",6.07963519690089,6304.18328571592,NA,6159.51853856872,353.1347,388.56
"350300",5.61858749848904,8257.20364647713,NA,7911.86813551399,195.3801,354.75
"350400",5.57483344383175,8642.54806409672,NA,10768.2914060088,37.5497,23.5
"350500",5.55115961509245,9023.87877163252,NA,10016.215414195,143.5185,168.26
"350600",5.83836159031344,8592.92040876486,NA,10121.5482789635,70.5649,101.44
"350700",5.68479199636192,8227.1880136162,NA,10541.1386276683,46.7875,47.38
"350800",6.00812568950733,8955.61288823272,NA,11769.8561185162,66.2429,85.19
"350900",5.48676411986075,7744.83992237412,NA,10107.8786410322,42.926,36.25
"360100",6.24247377531864,7311.23754458059,NA,7279.93402487604,235.7839,209.81
"360200",6.03344240042471,5801.99312619114,NA,5923.63312131579,47.3561,46.06
"360300",6.20421691491553,7227.7846737691,NA,7194.84735163869,89.355,69.07
"360400",6.11074984988417,8483.3763275959,NA,10069.7809775491,70.4986,75.63
"360700",6.26650318025646,8741.6612432229,NA,10865.3256292643,64.2653,111.06
"360800",6.47133504484871,9157.06534385629,NA,11342.9824058166,53.8699,39.94
"360900",6.39026073074383,7699.14158760658,NA,8915.79988471508,104.5952,51.88
"361000",6.01475374670234,7642.73966295096,NA,9265.80548551199,108.9888,46.38
"361100",6.24338580420229,8092.40905166279,NA,9225.21942192272,41.6219,73.69
"370100",6.37713427213305,7792.8122055884,NA,9482.51240448038,433.5989,336.01
"370200",6.11293540011707,7917.88857150871,NA,10020.1410411396,371.8835,496.52
"370300",5.79143760315786,6836.00080906149,NA,8330.97989400764,312.9228,461.76
"370400",5.95540981485925,8187.92777751457,NA,9451.75361344155,212.5481,229.56
"370500",6.30001972150928,9039.23012525007,NA,11340.16999174,100.4271,464.37
"370600",5.89472953448441,7385.24106003343,NA,10028.5434148015,222.7733,300.32
"370700",5.88699626694986,8058.05775104439,NA,10801.5538251629,204.4028,318.76
"370800",6.11429774871064,8289.41505300068,NA,10352.7719609017,124.1012,111.69
"370900",6.01020149313523,7800.49978297265,NA,9854.0979468802,173.5425,147.56
"371000",5.59398070369254,7538.74023078209,NA,9836.10155077108,84.431,108.88
"371100",5.89888428387911,8359.04948529692,NA,9823.96946832671,132.0578,203.75
"371300",6.25616588037856,8761.95807862432,NA,11649.697902564,230.3648,348.37
"371400",6.20277821500579,6912.36726650576,NA,8831.25023776251,67.9535,82.69
"371500",6.12621555621216,8455.19330374041,NA,9939.39817027952,122.9768,168.38
"371600",6.27268351091871,8554.911772254,NA,10540.9605760738,68.2717,161.94
"371700",6.82711526086861,8422.24517341534,NA,10634.8181004918,134.6717,226.06
"410100",6.72145694819922,7956.3486481556,1,9694.9509160415,425.3913,386.32
"410200",6.8023684065811,7642.29012299665,NA,8758.3712845656,89.6117,94.32
"410300",6.23216881101708,8336.23700389384,NA,10271.896471071,192.6079,185
"410400",6.74976393688153,7222.7077361177,NA,8413.42195918942,103.4042,103.51
"410500",6.51148987592285,7557.82001133614,NA,9074.8610919559,114.6839,87.56
"410600",6.38574255434077,8203.26722052986,NA,8301.91781121653,63.4721,25.13
"410700",6.3823869989554,7753.0295789144,NA,9228.80356622341,104.7088,87.82
"410800",6.28070222961683,6869.61684309312,NA,7391.32093393442,86.5413,120.19
"410900",6.73475016097746,8326.64469020678,NA,9617.61657057713,65.5674,65.31
"411000",6.52481338942763,7139.35102071907,NA,7902.28166188562,49.8087,44.75
"411100",6.54767131209572,6621.34877014908,NA,6823.05901295214,129.4974,138.75
"411200",6.35705474814608,7547.05218026724,NA,9839.27410735404,32.5628,38.19
"411300",6.66761068496611,8432.19462673929,NA,11144.8579587507,181.1812,141.31
"411400",6.92715349453254,8033.40670536805,NA,9585.06053510424,153.6392,171.82
"411500",6.69615337987481,7487.35278122765,NA,9350.8443397422,123.0042,84.94
"411600",7.28598706175697,7743.44211599852,NA,9760.53750386608,50.5171,31.94
"411700",7.02710469544835,8029.69743552675,NA,10351.300777706,72.1723,38
"420100",6.42486935799773,8489.30018443139,1,9332.68442917825,978.5388,945.13
"420200",6.05362793869674,7775.67956291076,NA,7930.11953075023,69.1963,64.26
"420300",6.29999150924901,8215.87466579808,NA,12424.5148983144,76.792,55.87
"420500",6.5051767411968,9163.29732760743,NA,11811.7650788264,141.138,94.7
"420600",6.54874156900818,8920.49435430528,NA,10992.5126575922,219.969,220.5
"420800",6.63496322279222,8594.26992532247,NA,10135.8237618672,63.2954,45.13
"420900",6.35170389499482,7542.38295773474,NA,8502.02358653223,90.8266,44.06
"421000",6.44511730724105,7412.99244215647,NA,9367.54385469077,115.4086,96.25
"421100",6.42337320885458,7768.99483874418,NA,9356.4248097541,36.6769,36.38
"421200",6.40965734119214,7195.61094641287,NA,8477.43876804563,51.2517,64.13
"430100",6.87083804531299,8737.73001891565,1,9773.69081718893,309.2213,268.5
"430200",6.41771600363071,6920.02309989747,NA,7480.97789521979,105.515,86.56
"430300",6.69013367480112,7418.67845006054,NA,7345.42190735006,96.0303,115.06
"430400",6.152265454394,9048.5384115799,NA,10219.1784754318,113.3967,92.57
"430500",6.40743164996633,8467.13195067264,NA,9657.12509162419,75.3194,69.32
"430600",6.67106053810818,8580.47988030112,NA,11107.9687363823,123.1509,119.94
"430700",6.67569716260857,8372.64642931285,NA,11423.4633013169,145.7419,104.07
"430900",6.76552120929463,8089.83853496514,NA,9648.67908722644,124.5517,85.76
"431000",6.47174117489278,9480.44762723486,NA,12271.2106699628,82.2534,68.94
"431100",6.47700889964771,8438.40674732112,NA,9700.36750511421,102.0715,80.87
"431200",6.47097330626867,8760.59158387791,NA,11663.8950506796,55.2622,46.38
"431300",6.4036613415586,8036.87065669811,NA,9709.10415585291,49.6744,66.75
"440100",6.41208868930725,8175.05953196492,1,8592.23791740844,1107.1424,1144.25
"440200",5.90338474069662,8583.82929378807,NA,10164.9494916601,99.16,147.38
"440300",5.96169966089401,7667.10666048652,1,7613.67181430183,1035.8381,893.7
"440400",5.99156859670332,7530.2039929716,NA,6648.16582393169,156.253,217.01
"440500",5.12982807692204,5689.13429112826,NA,5055.6689797548,532.9024,525.51
"440600",6.10856323995987,5920.26410964193,1,5981.24904398644,719.7394,1271.26
"440700",5.90866312199408,6773.62340826791,NA,7278.61693069414,182.2614,293.75
"440800",6.4511329896919,9293.62060797473,NA,10069.8441065068,161.1868,151.38
"440900",6.44969364270097,9090.18097730672,NA,9232.31228725139,121.76,151.69
"441200",5.85186197809766,7549.16869144215,NA,8110.27724486723,64.4032,76.44
"441300",5.66457551780144,8003.30644530729,NA,8212.80720849437,234.4634,357.5
"441400",5.7861968886702,9077.00884846081,NA,9771.23366260985,38.0771,32.31
"441500",5.36009063237728,6994.64717180824,NA,6639.34959989493,49.2262,37.13
"441600",6.04154867334288,9046.86212836545,NA,11374.3194261804,46.3907,106.88
"441700",6.01977909984745,8517.14841216554,NA,8355.29251065485,67.6857,33.13
"441800",6.05708161513717,8422.26137701667,NA,9080.19969674756,81.1233,145
"441900",5.83620432583202,6458.29584308812,NA,6251.82431325667,822.0207,1189.69
"442000",5.86684405605777,5288.80456389527,NA,4918.70944440215,312.1275,547.75
"445100",5.23841644918654,5222.65277160631,NA,4724.79796715339,45.2469,29
"445200",5.21465156463579,6598.07088706792,NA,5822.75683118039,74.6354,83.25
"445300",5.98839541908218,8845.75272933763,NA,8619.53245991783,31.8145,43.06
"450100",6.6337180041468,7404.27882956281,NA,9867.34923891458,343.4303,235.5
"450200",6.43931967368506,7092.02553294226,NA,8467.90897059107,143.6599,124.56
"450300",6.85779335343894,7947.53907005429,NA,11996.4110337789,97.5638,80.68
"450400",6.07174521055206,8290.01673064153,NA,9531.41971435029,53.1296,55
"450500",6.29858180300274,8232.10227825078,NA,7859.50966831441,66.8044,99.31
"450700",6.66649207399822,9004.01214581984,NA,10469.8771097534,119.8428,93.56
"450800",6.77659019855429,8775.87878868094,NA,9710.20232284957,149.3874,146.44
"450900",6.65075128921589,9012.10846443503,NA,10163.6642898184,105.6743,74.25
"451000",6.97110008962927,9426.59464374809,NA,11698.4498836545,37.2825,17.81
"451200",6.63233963445756,9970.34665704574,NA,13712.6358404553,33.0131,13.13
"460100",6.99827728169286,5597.89652464311,NA,5069.96547340648,204.617,194.56
"460200",7.21013604173453,7264.58793763113,NA,6592.1526947229,68.5408,82.5
"500000",6.22298669520503,9794.43455796704,1,13951.2454876592,1569.349,828.02
"510100",6.5562098030734,9270.03100792021,1,11815.4162624739,741.559,689.59
"510300",6.23227305366901,6930.99880062918,NA,7131.8352571944,126.2064,51.88
"510500",6.54922528406126,8779.81482583717,NA,10748.6925775738,137.1233,56.44
"510600",6.45750571359672,7617.71003372681,NA,7949.62196268553,73.507,60.38
"510700",6.47157351203175,8694.23193505874,NA,11437.3305852354,135.5331,120.82
"510800",6.59055568604595,9393.57653176114,NA,13212.9504848813,85.9246,61.13
"510900",6.14252778248659,7354.39151018955,NA,7666.13540453937,129.5885,47.19
"511000",6.32832928129725,7029.68268141143,NA,7142.54423874223,125.1095,38.44
"511100",6.63559613997979,8642.6869990645,NA,11410.9885282614,121.1237,147.31
"511300",5.99945992227767,8395.04596585337,NA,10333.572337332,185.8875,56.07
"511400",6.53709942519877,7830.40218712029,NA,8583.36565569304,82.1853,48.94
"511500",6.49775304316914,9911.28157386072,NA,12283.1668535395,83.634,43.69
"511600",5.97289061822326,8278.04156252074,NA,8186.94553163611,85.8159,17.13
"511700",5.69734127777888,8804.94084604237,NA,10996.2554673256,47.8276,11
"511800",6.60039912809583,8410.89164535117,NA,10390.5475419805,35.5572,13.75
"511900",6.07688797125996,9633.11701659761,NA,10895.1427751401,112.6167,14.69
"520100",7.09812356424184,7875.93041412353,NA,8783.45773671854,303.475,150.38
"520200",7.3512047369757,8506.25270783148,NA,10434.3438145212,111.1372,30.81
"520300",6.99734730079529,9859.02064685108,NA,12038.6288533568,109.4871,49.06
"520400",7.4562951249317,8869.53471221985,NA,9459.89839603906,76.5399,21.81
"530100",7.53428258997521,8372.46859306658,1,9986.73389345143,354.4503,352.64
"530300",8.11351006415456,9269.23855180761,NA,13024.7043159992,74.0747,77
"530400",7.61551643021382,8499.92605666949,NA,9812.59795786617,49.5129,72.38
"530600",7.68683588621022,9040.30199413604,NA,11108.9178813714,78.7837,23.94
"610100",6.91071083634387,7918.8483216748,1,9374.97184267668,650.119,654.38
"610300",6.74205256377221,8212.62333261513,NA,11302.6461351954,143.7802,121.45
"610400",6.84778675583483,7653.29042962207,NA,9061.78161846673,114.6592,141.26
"610500",7.07535112724945,8352.71943520913,NA,10243.8217503687,87.7142,85.56
"610600",7.7746657402158,9534.75966125618,NA,15020.6534475136,47.5234,41.38
"610700",6.88902568734738,7798.5114072859,NA,10491.7787011777,53.4923,37.88
"610800",7.73153276954759,9407.61227738105,NA,13511.4105826759,63.7617,41.88
"610900",6.83738732385037,9007.95443015039,NA,11450.1261960439,87.0126,30.25
"620100",6.65603362263429,7170.60729465793,NA,8565.2654687186,262.8426,203.95
"620500",6.67780046800145,8164.46570165014,NA,10552.543299833,119.7174,60.62
"621000",7.31779706264279,10336.7104849466,NA,15243.7606313205,37.7528,23.81
"630100",6.97474120351877,7761.82599376069,NA,8219.29560962261,119.8304,122.32
"640100",7.30148861484162,7778.89231139635,NA,8988.60921134137,129.017,140.51
"650100",6.5896663924141,6137.67454566423,NA,8015.64892103487,302.9372,380.69
